block_id,condition,trial_index,task,task_transition,response_transition,congruency,target_coh_level,target_dir
cp_taskswitch,A,0,or,First,First,congruent,hard,right
cp_taskswitch,A,1,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch,A,2,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,A,3,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,4,mov,Repeat,Switch,incongruent,hard,right
cp_taskswitch,A,5,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch,A,6,mov,Repeat,Switch,incongruent,easy,right
cp_taskswitch,A,7,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch,A,8,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,A,9,mov,Switch,Switch,incongruent,hard,right
cp_taskswitch,A,10,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch,A,11,or,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,A,12,or,Repeat,Switch,incongruent,easy,left
cp_taskswitch,A,13,or,Repeat,Repeat,incongruent,hard,left
cp_taskswitch,A,14,mov,Switch,Repeat,congruent,easy,left
cp_taskswitch,A,15,or,Switch,Repeat,congruent,easy,left
cp_taskswitch,A,16,mov,Switch,Switch,congruent,hard,right
cp_taskswitch,A,17,mov,Repeat,Repeat,congruent,easy,right
cp_taskswitch,A,18,mov,Repeat,Switch,incongruent,easy,left
cp_taskswitch,A,19,or,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,20,mov,Switch,Switch,congruent,easy,right
cp_taskswitch,A,21,mov,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,A,22,mov,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,23,or,Switch,Switch,congruent,hard,right
cp_taskswitch,A,24,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,A,25,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch,A,26,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,A,27,or,Switch,Switch,incongruent,easy,right
cp_taskswitch,A,28,mov,Switch,Switch,congruent,easy,left
cp_taskswitch,A,29,mov,Repeat,Repeat,incongruent,easy,left
cp_taskswitch,A,30,or,Switch,Repeat,congruent,easy,left
cp_taskswitch,A,31,mov,Switch,Switch,congruent,easy,right
cp_taskswitch,A,32,or,Switch,Repeat,incongruent,hard,right
cp_taskswitch,A,33,or,Repeat,Repeat,congruent,easy,right
cp_taskswitch,A,34,mov,Switch,Repeat,incongruent,hard,right
cp_taskswitch,A,35,or,Switch,Switch,congruent,hard,left
cp_taskswitch,A,36,or,Repeat,Switch,incongruent,hard,right
cp_taskswitch,A,37,or,Repeat,Repeat,incongruent,easy,right
cp_taskswitch,A,38,or,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,39,mov,Switch,Repeat,incongruent,hard,left
cp_taskswitch,A,40,or,Switch,Switch,congruent,hard,right
cp_taskswitch,A,41,mov,Switch,Switch,incongruent,hard,left
cp_taskswitch,A,42,mov,Repeat,Repeat,congruent,hard,left
cp_taskswitch,A,43,or,Switch,Switch,incongruent,easy,right
cp_taskswitch,A,44,mov,Switch,Switch,congruent,easy,left
cp_taskswitch,A,45,mov,Repeat,Switch,congruent,easy,right
cp_taskswitch,A,46,or,Switch,Repeat,incongruent,easy,right
cp_taskswitch,A,47,mov,Switch,Repeat,congruent,easy,right
cp_taskswitch,A,48,or,Switch,Switch,congruent,hard,left
cp_taskswitch,A,49,or,Repeat,Repeat,congruent,easy,left
cp_taskswitch,A,50,mov,Switch,Repeat,congruent,hard,left
cp_taskswitch,A,51,or,Switch,Switch,incongruent,easy,right
cp_taskswitch,A,52,or,Repeat,Repeat,congruent,hard,right
cp_taskswitch,A,53,or,Repeat,Switch,congruent,hard,left
cp_taskswitch,A,54,mov,Switch,Switch,incongruent,easy,right
cp_taskswitch,A,55,or,Switch,Repeat,congruent,hard,right
cp_taskswitch,A,56,or,Repeat,Switch,congruent,easy,left
cp_taskswitch,A,57,or,Repeat,Switch,congruent,hard,right
cp_taskswitch,A,58,mov,Switch,Repeat,congruent,easy,right
cp_taskswitch,A,59,mov,Repeat,Repeat,incongruent,hard,right
cp_taskswitch,A,60,mov,Repeat,Repeat,incongruent,easy,right
