block_id,condition,trial_index,task,soa_level,congruency,target_dir
cp_prp,A,0,or,300,incongruent,left
cp_prp,A,1,mov,600,congruent,right
cp_prp,A,2,mov,100,incongruent,right
cp_prp,A,3,or,300,congruent,left
cp_prp,A,4,mov,600,congruent,left
cp_prp,A,5,or,600,incongruent,right
cp_prp,A,6,or,100,congruent,right
cp_prp,A,7,mov,300,incongruent,left
cp_prp,A,8,mov,300,congruent,left
cp_prp,A,9,or,300,incongruent,left
cp_prp,A,10,mov,100,congruent,right
cp_prp,A,11,mov,600,incongruent,right
cp_prp,A,12,or,600,incongruent,right
cp_prp,A,13,or,100,incongruent,right
cp_prp,A,14,mov,600,incongruent,right
cp_prp,A,15,mov,600,congruent,right
cp_prp,A,16,or,300,incongruent,left
cp_prp,A,17,or,100,congruent,left
cp_prp,A,18,mov,100,incongruent,right
cp_prp,A,19,or,300,congruent,right
cp_prp,A,20,or,600,incongruent,left
cp_prp,A,21,mov,300,congruent,right
cp_prp,A,22,mov,300,congruent,right
cp_prp,A,23,or,600,incongruent,right
cp_prp,A,24,or,600,congruent,left
cp_prp,A,25,mov,100,congruent,left
cp_prp,A,26,or,300,incongruent,right
cp_prp,A,27,mov,300,incongruent,right
cp_prp,A,28,mov,600,incongruent,left
cp_prp,A,29,mov,600,congruent,left
cp_prp,A,30,or,600,incongruent,right
cp_prp,A,31,or,600,congruent,right
cp_prp,A,32,mov,300,incongruent,right
cp_prp,A,33,or,100,congruent,right
cp_prp,A,34,or,600,incongruent,left
cp_prp,A,35,or,100,incongruent,left
cp_prp,A,36,mov,100,incongruent,left
cp_prp,A,37,mov,100,congruent,left
cp_prp,A,38,or,300,congruent,right
cp_prp,A,39,mov,600,congruent,left
cp_prp,A,40,or,600,congruent,left
cp_prp,A,41,or,100,incongruent,right
cp_prp,A,42,or,100,congruent,left
cp_prp,A,43,mov,300,congruent,left
cp_prp,A,44,mov,300,incongruent,right
cp_prp,A,45,or,300,congruent,left
cp_prp,A,46,mov,300,congruent,left
cp_prp,A,47,or,300,incongruent,left
cp_prp,A,48,or,600,congruent,left
cp_prp,A,49,or,300,congruent,right
cp_prp,A,50,mov,300,congruent,left
cp_prp,A,51,or,300,congruent,right
cp_prp,A,52,mov,600,incongruent,left
cp_prp,A,53,mov,600,congruent,right
cp_prp,A,54,mov,100,incongruent,left
cp_prp,A,55,or,600,congruent,right
cp_prp,A,56,mov,600,incongruent,left
cp_prp,A,57,mov,300,congruent,right
cp_prp,A,58,or,300,incongruent,right
cp_prp,A,59,mov,600,incongruent,right
cp_prp,A,60,or,100,congruent,right
cp_prp,A,61,or,300,incongruent,right
cp_prp,A,62,or,600,incongruent,left
cp_prp,A,63,mov,100,incongruent,right
cp_prp,A,64,mov,100,incongruent,right
cp_prp,A,65,or,100,congruent,left
cp_prp,A,66,mov,600,incongruent,right
cp_prp,A,67,or,100,incongruent,right
cp_prp,A,68,mov,100,incongruent,left
cp_prp,A,69,mov,100,congruent,left
cp_prp,A,70,or,100,congruent,right
cp_prp,A,71,mov,300,incongruent,left
cp_prp,A,72,or,600,congruent,left
cp_prp,A,73,or,300,congruent,left
cp_prp,A,74,mov,100,congruent,right
cp_prp,A,75,or,100,incongruent,right
cp_prp,A,76,or,300,incongruent,right
cp_prp,A,77,or,100,incongruent,left
cp_prp,A,78,mov,300,incongruent,left
cp_prp,A,79,or,600,congruent,right
cp_prp,A,80,mov,100,congruent,left
cp_prp,A,81,mov,600,congruent,left
cp_prp,A,82,or,600,incongruent,left
cp_prp,A,83,mov,100,incongruent,left
cp_prp,A,84,or,100,congruent,left
cp_prp,A,85,or,100,incongruent,left
cp_prp,A,86,mov,100,congruent,right
cp_prp,A,87,mov,100,congruent,right
cp_prp,A,88,mov,300,incongruent,right
cp_prp,A,89,or,100,incongruent,left
cp_prp,A,90,mov,300,congruent,right
cp_prp,A,91,mov,300,incongruent,left
cp_prp,A,92,mov,600,incongruent,left
cp_prp,A,93,or,300,congruent,left
cp_prp,A,94,mov,600,congruent,right
cp_prp,A,95,or,600,congruent,right
